symbol,rows_used,avg_volume_20d,shares_at_1pct_adv,last_close,cash_value_1pct_adv,status
AEM,20,2913733.65,29137.34,184.04,5362435.21,ok
BLND,20,4480714.15,44807.14,1.72,77068.28,ok
CEE,20,25926.45,259.26,17.47,4529.35,ok
CHPT,20,446729.6,4467.3,5.35,23900.03,ok
COOK,20,18051.8,180.52,28.58,5159.2,ok
META,20,12751514.0,127515.14,604.06,77026795.16,ok
MSOS,20,6024547.9,60245.48,3.83,230740.18,ok
PAYS,20,345652.6,3456.53,3.34,11544.8,ok
PLTR,20,49878852.45,498788.52,160.84,80225144.45,ok
PSLV,20,17497386.65,174973.87,22.27,3896668.09,ok
RMNI,20,366820.25,3668.2,3.24,11884.98,ok
RYAAY,20,1616590.8,16165.91,59.3,958638.33,ok
SIL,20,3123462.25,31234.62,82.73,2584040.42,ok
SMCI,20,40069116.85,400691.17,21.58,8646915.39,ok
TSLA,20,60414554.1,604145.54,380.85,230088832.98,ok
UFO,20,440024.0,4400.24,46.6,205051.18,ok
ULH,20,55865.75,558.66,19.84,11083.76,ok
UVSP,20,175900.25,1759.0,33.79,59436.7,ok
