symbol,cluster,entry_bar,exit_bar,entry_price,exit_price,position,signal,bars_held,pnl_pct,correct,exit_reason,confidence,hurst,tstat,regime,z_score,long_score,short_score
AAPL,GRINDER,366,373,256.3813,256.2017,LONG,BUY,7,-0.0701,False,TIME,0.596,0.99,18.85,MIXED,1.538,0.6545,0.0
AAPL,GRINDER,390,397,269.1869,267.9593,LONG,BUY,7,-0.4561,False,TIME,0.5698,0.1,18.66,MIXED,1.289,0.5026,0.0
AAPL,GRINDER,413,420,285.9225,277.7701,LONG,BUY,7,-2.8513,False,TIME,0.664,0.556,16.14,MIXED,0.904,0.5097,0.0
AMZN,STEADY,144,145,195.78,199.5,SHORT,SHORT,1,-1.9001,False,FLIP,0.6368,0.99,9.72,MIXED,2.033,0.5652,0.4417
AMZN,STEADY,145,147,199.5,210.05,LONG,BUY,2,5.2882,True,FLIP,0.5652,0.571,9.58,MIXED,3.439,0.4604,0.6582
AMZN,STEADY,147,152,210.05,211.48,SHORT,SHORT,5,-0.6808,True,TIME,0.6582,0.1,10.53,MIXED,2.322,0.4113,0.4099
AMZN,STEADY,166,171,220.55,228.97,LONG,BUY,5,3.8177,True,TIME,0.6455,0.1,11.77,MIXED,2.148,0.4517,0.046
AMZN,STEADY,174,179,231.15,229.05,LONG,BUY,5,-0.9085,False,TIME,0.6613,0.571,19.46,MIXED,0.901,0.577,0.0
AMZN,STEADY,196,201,235.01,237.07,LONG,BUY,5,0.8766,False,TIME,0.5562,0.99,11.46,MIXED,2.08,0.6006,0.0
AMZN,STEADY,201,206,237.07,236.17,LONG,BUY,5,-0.3796,True,TIME,0.6006,0.842,11.2,MIXED,2.016,0.6108,0.0
AMZN,STEADY,206,211,236.17,228.93,LONG,BUY,5,-3.0656,False,TIME,0.6108,0.99,10.74,MIXED,0.487,0.5074,0.0
AMZN,STEADY,304,309,223.3,223.47,LONG,BUY,5,0.0761,False,TIME,0.5659,0.696,17.93,MIXED,1.869,0.6396,0.0666
AMZN,STEADY,309,314,223.47,225.69,LONG,BUY,5,0.9934,True,TIME,0.6396,0.121,18.96,MIXED,1.676,0.5116,0.0146
AMZN,STEADY,315,320,226.35,227.47,LONG,BUY,5,0.4948,True,TIME,0.6344,0.99,19.85,MIXED,1.894,0.7225,0.0463
AMZN,STEADY,320,325,227.47,231.01,LONG,BUY,5,1.5562,True,TIME,0.7225,0.816,19.71,MIXED,1.713,0.7154,0.0898
AMZN,STEADY,325,330,231.01,213.75,LONG,BUY,5,-7.4715,False,TIME,0.7154,0.726,13.86,MIXED,-1.75,0.5452,0.0
AVGO,TREND,302,306,263.1408,263.2303,LONG,BUY,4,0.034,True,TRAIL,0.6445,0.367,29.92,MIXED,2.092,0.554,0.0
AVGO,TREND,306,311,263.2303,276.3152,LONG,BUY,5,4.9709,True,TIME,0.554,0.1,29.42,MEAN_REVERT,1.331,0.516,0.0
AVGO,TREND,318,323,281.7242,288.5252,LONG,BUY,5,2.4141,True,TIME,0.5635,0.492,27.8,MIXED,1.526,0.5147,0.3163
AVGO,TREND,326,331,300.8943,299.9497,LONG,BUY,5,-0.3139,True,TIME,0.6445,0.99,30.81,MIXED,1.133,0.668,0.0
AVGO,TREND,332,337,302.0278,309.4552,LONG,BUY,5,2.4592,True,TIME,0.711,0.961,33.5,MIXED,1.709,0.668,0.3718
AVGO,TREND,338,343,304.5931,292.3234,LONG,BUY,5,-4.0282,False,TIME,0.762,0.1,23.32,MIXED,-0.395,0.438,0.0
AVGO,TREND,353,356,343.6789,357.5792,LONG,BUY,3,4.0446,True,TRAIL,0.5606,0.1,13.93,MIXED,3.571,0.4733,0.0519
AVGO,TREND,358,363,362.0138,337.4352,LONG,BUY,5,-6.7894,False,TIME,0.5849,0.47,13.29,MIXED,0.981,0.4191,0.0
BRK-B,GRINDER,241,248,534.52,490.38,LONG,BUY,7,-8.2579,False,TIME,0.742,0.1,22.13,MIXED,-1.323,0.486,0.0
COIN,EXPLOSIVE,154,158,325.41,304.64,LONG,BUY,4,-6.3827,False,TIME,0.5292,0.8,11.11,MIXED,1.104,0.4991,0.0
COIN,EXPLOSIVE,300,304,307.59,353.43,LONG,BUY,4,14.903,True,TRAIL,0.5487,0.469,15.8,MIXED,3.094,0.4978,0.1309
COST,GRINDER,287,294,1051.2041,998.5441,LONG,BUY,7,-5.0095,False,TIME,0.6453,0.99,15.15,MIXED,-1.148,0.5615,0.0
GOOGL,TREND,334,339,200.5479,203.0423,LONG,BUY,5,1.2438,True,TIME,0.7026,0.99,17.81,MIXED,1.527,0.6761,0.1152
GOOGL,TREND,345,350,206.6741,230.1412,LONG,BUY,5,11.3546,True,TIME,0.5534,0.99,23.49,MIXED,1.709,0.726,0.0127
GOOGL,TREND,351,356,231.7775,240.0439,LONG,BUY,5,3.5665,True,TIME,0.764,0.377,21.6,MIXED,2.126,0.488,0.0865
GOOGL,TREND,357,362,240.4733,254.3744,LONG,BUY,5,5.7807,True,TIME,0.772,0.853,21.61,MIXED,1.726,0.715,0.1029
GOOGL,TREND,388,393,268.9047,283.3351,LONG,BUY,5,5.3664,True,TIME,0.678,0.679,16.36,MIXED,2.555,0.5513,0.0
GOOGL,TREND,393,398,283.3351,289.7064,LONG,BUY,5,2.2487,True,TIME,0.5513,0.1,16.46,MIXED,1.352,0.4406,0.0371
GOOGL,TREND,412,417,314.4628,313.4993,LONG,BUY,5,-0.3064,True,TIME,0.671,0.99,16.47,MIXED,1.515,0.7087,0.0
GOOGL,TREND,439,444,328.3389,329.7679,LONG,BUY,5,0.4352,False,TIME,0.6211,0.473,14.03,MIXED,1.732,0.4554,0.0
GOOGL,TREND,455,460,339.471,318.3559,LONG,BUY,5,-6.22,False,TIME,0.5871,0.99,10.28,MIXED,-0.362,0.5968,0.0
JPM,STEADY,158,163,241.0708,238.84,LONG,BUY,5,-0.9254,False,TIME,0.63,0.451,19.67,MIXED,1.342,0.4752,0.2069
JPM,STEADY,301,306,275.8944,284.8698,LONG,BUY,5,3.2532,True,TIME,0.5512,0.1,22.93,MIXED,2.39,0.554,0.2118
JPM,STEADY,306,311,284.8698,279.0963,LONG,BUY,5,-2.0267,False,TIME,0.554,0.1,25.23,MEAN_REVERT,0.874,0.516,0.0
JPM,STEADY,324,329,293.9993,290.037,LONG,BUY,5,-1.3477,False,TIME,0.572,0.99,21.89,MEAN_REVERT,0.003,0.696,0.0
JPM,STEADY,346,351,294.985,299.4598,LONG,BUY,5,1.517,False,TIME,0.6356,0.99,10.44,MIXED,1.198,0.5704,0.0
