Symbol,Cluster,N_Trades,Predict_Acc_%,Long_Acc_%,Short_Acc_%,Win_Rate_%,Avg_Win_%,Avg_Loss_%,Total_Return_%,Profit_Factor,Sharpe,Avg_Hold_Bars,Long_Trades,Short_Trades,Z_MIN,TSTAT_MIN,HOLD_BARS
NVDA,TREND,4,100.0,100.0,0.0,100.0,2.866,0.0,11.46,11462400000.0,1.732,5.0,4,0,1.75,10.0,5
MSFT,GRINDER,2,100.0,100.0,0.0,50.0,0.694,-0.167,0.53,4.16,0.433,4.5,2,0,1.75,12.0,7
XOM,TREND,6,83.3,83.3,0.0,100.0,4.508,0.0,27.05,27049000000.0,1.454,4.8,6,0,1.75,10.0,5
TSLA,TSLA_SOLO,5,80.0,80.0,0.0,80.0,2.986,-5.27,6.67,2.27,0.337,3.2,5,0,2.0,0.0,4
GOOGL,TREND,9,77.8,77.8,0.0,77.8,4.285,-3.263,23.47,4.6,0.538,5.0,9,0,1.75,10.0,5
AVGO,TREND,8,75.0,75.0,0.0,62.5,2.785,-3.71,2.79,1.25,0.086,4.6,8,0,1.75,10.0,5
PLTR,EXPLOSIVE,17,64.7,64.7,0.0,64.7,3.769,-8.633,-10.34,0.8,-0.076,3.9,17,0,1.75,6.0,4
AMZN,STEADY,13,53.8,54.5,50.0,53.8,1.872,-2.401,-1.3,0.91,-0.032,4.5,11,2,1.5,8.0,5
META,GRINDER,2,50.0,50.0,0.0,50.0,2.396,-0.116,2.28,20.67,0.642,5.5,2,0,1.75,12.0,7
COIN,EXPLOSIVE,2,50.0,50.0,0.0,50.0,14.903,-6.383,8.52,2.33,0.283,4.0,2,0,1.75,6.0,4
JPM,STEADY,8,37.5,37.5,0.0,50.0,2.543,-2.537,0.03,1.0,0.001,5.0,8,0,1.5,8.0,5
V,STEADY,4,25.0,25.0,0.0,25.0,3.372,-3.691,-7.7,0.3,-0.376,5.0,4,0,1.5,8.0,5
COST,GRINDER,1,0.0,0.0,0.0,0.0,0.0,-5.01,-5.01,0.0,,7.0,1,0,1.75,12.0,7
AAPL,GRINDER,3,0.0,0.0,0.0,0.0,0.0,-1.126,-3.38,0.0,-0.747,7.0,3,0,1.75,12.0,7
BRK-B,GRINDER,1,0.0,0.0,0.0,0.0,0.0,-8.258,-8.26,0.0,,7.0,1,0,1.75,12.0,7
