symbol,cluster,entry_bar,exit_bar,entry_price,exit_price,position,signal,bars_held,pnl_pct,correct,exit_reason,confidence,hurst,tstat,regime,z_score,z_x_conf,long_score,short_score
AAPL,GRINDER,366,373,256.3813,256.2017,LONG,BUY,7,-0.0701,False,TIME,0.596,0.99,18.85,MIXED,1.538,0.9166,0.6545,0.0
AAPL,GRINDER,390,397,269.1869,267.9593,LONG,BUY,7,-0.4561,False,TIME,0.5698,0.1,18.66,MIXED,1.289,0.7345,0.5026,0.0
AAPL,GRINDER,413,420,285.9225,277.7701,LONG,BUY,7,-2.8513,False,TIME,0.664,0.556,16.14,MIXED,0.904,0.6003,0.5097,0.0
AMZN,STEADY,144,145,195.78,199.5,SHORT,SHORT,1,-1.9001,False,FLIP,0.6368,0.99,9.72,MIXED,2.033,1.2946,0.5652,0.4417
AMZN,STEADY,147,152,210.05,211.48,SHORT,SHORT,5,-0.6808,True,TIME,0.6582,0.1,10.53,MIXED,2.322,1.5283,0.4113,0.4099
AMZN,STEADY,166,171,220.55,228.97,LONG,BUY,5,3.8177,True,TIME,0.6455,0.1,11.77,MIXED,2.148,1.3865,0.4517,0.046
AMZN,STEADY,174,179,231.15,229.05,LONG,BUY,5,-0.9085,False,TIME,0.6613,0.571,19.46,MIXED,0.901,0.5958,0.577,0.0
AMZN,STEADY,197,202,235.42,234.64,LONG,BUY,5,-0.3313,True,TIME,0.6215,0.99,11.39,MIXED,1.752,1.0889,0.5719,0.0
AMZN,STEADY,206,211,236.17,228.93,LONG,BUY,5,-3.0656,False,TIME,0.6108,0.99,10.74,MIXED,0.487,0.2975,0.5074,0.0
AMZN,STEADY,307,312,219.92,222.26,LONG,BUY,5,1.064,True,TIME,0.6861,0.149,18.77,MIXED,1.478,1.0141,0.4917,0.0
AMZN,STEADY,315,320,226.35,227.47,LONG,BUY,5,0.4948,True,TIME,0.6344,0.99,19.85,MIXED,1.894,1.2016,0.7225,0.0463
AMZN,STEADY,323,328,231.44,214.75,LONG,BUY,5,-7.2114,False,TIME,0.6914,0.948,19.78,MIXED,1.6,1.1062,0.6938,0.1743
AVGO,TREND,302,306,263.1408,263.2303,LONG,BUY,4,0.034,True,TRAIL,0.6445,0.367,29.92,MIXED,2.092,1.3483,0.554,0.0
AVGO,TREND,309,314,272.6164,274.0284,LONG,BUY,5,0.5179,True,TIME,0.7344,0.337,28.12,MIXED,1.289,0.9466,0.524,0.0
AVGO,TREND,318,323,281.7242,288.5252,LONG,BUY,5,2.4141,True,TIME,0.5635,0.492,27.8,MIXED,1.526,0.8599,0.5147,0.3163
AVGO,TREND,326,331,300.8943,299.9497,LONG,BUY,5,-0.3139,True,TIME,0.6445,0.99,30.81,MIXED,1.133,0.7302,0.668,0.0
AVGO,TREND,332,337,302.0278,309.4552,LONG,BUY,5,2.4592,True,TIME,0.711,0.961,33.5,MIXED,1.709,1.2151,0.668,0.3718
AVGO,TREND,338,343,304.593,292.3234,LONG,BUY,5,-4.0282,False,TIME,0.762,0.1,23.32,MIXED,-0.395,-0.301,0.438,0.0
AVGO,TREND,353,356,343.6789,357.5792,LONG,BUY,3,4.0446,True,TRAIL,0.5606,0.1,13.93,MIXED,3.571,2.0019,0.4733,0.0519
AVGO,TREND,358,363,362.0137,337.4352,LONG,BUY,5,-6.7894,False,TIME,0.5849,0.47,13.29,MIXED,0.981,0.5738,0.4191,0.0
BRK-B,GRINDER,241,248,534.52,490.38,LONG,BUY,7,-8.2579,False,TIME,0.742,0.1,22.13,MIXED,-1.323,-0.9817,0.486,0.0
COIN,EXPLOSIVE,154,158,325.41,304.64,LONG,BUY,4,-6.3827,False,TIME,0.5292,0.8,11.11,MIXED,1.104,0.5842,0.4991,0.0
COIN,EXPLOSIVE,300,304,307.59,353.43,LONG,BUY,4,14.903,True,TRAIL,0.5487,0.469,15.8,MIXED,3.094,1.6977,0.4978,0.1309
COST,GRINDER,287,294,1051.2042,998.5441,LONG,BUY,7,-5.0095,False,TIME,0.6453,0.99,15.15,MIXED,-1.148,-0.7408,0.5615,0.0
GOOGL,TREND,334,339,200.5479,203.0423,LONG,BUY,5,1.2438,True,TIME,0.7026,0.99,17.81,MIXED,1.527,1.0729,0.6761,0.1152
GOOGL,TREND,345,350,206.6741,230.1412,LONG,BUY,5,11.3546,True,TIME,0.5534,0.99,23.49,MIXED,1.709,0.9458,0.726,0.0127
GOOGL,TREND,351,356,231.7776,240.0439,LONG,BUY,5,3.5665,True,TIME,0.764,0.377,21.6,MIXED,2.126,1.6243,0.488,0.0865
GOOGL,TREND,357,362,240.4733,254.3744,LONG,BUY,5,5.7807,True,TIME,0.772,0.853,21.61,MIXED,1.726,1.3325,0.715,0.1029
GOOGL,TREND,388,393,268.9047,283.3351,LONG,BUY,5,5.3664,True,TIME,0.678,0.679,16.36,MIXED,2.555,1.7323,0.5513,0.0
GOOGL,TREND,412,417,314.4628,313.4993,LONG,BUY,5,-0.3064,True,TIME,0.671,0.99,16.47,MIXED,1.515,1.0166,0.7087,0.0
GOOGL,TREND,439,444,328.3389,329.7679,LONG,BUY,5,0.4352,False,TIME,0.6211,0.473,14.03,MIXED,1.732,1.0757,0.4554,0.0
GOOGL,TREND,455,460,339.471,318.3559,LONG,BUY,5,-6.22,False,TIME,0.5871,0.99,10.28,MIXED,-0.362,-0.2125,0.5968,0.0
JPM,STEADY,159,164,242.7585,237.4531,LONG,BUY,5,-2.1855,False,TIME,0.5869,0.788,20.98,MIXED,0.958,0.5623,0.6033,0.0
JPM,STEADY,301,306,275.8944,284.8698,LONG,BUY,5,3.2532,True,TIME,0.5512,0.1,22.93,MIXED,2.39,1.3174,0.554,0.2118
JPM,STEADY,307,312,286.4295,284.0541,LONG,BUY,5,-0.8293,False,TIME,0.698,0.375,24.68,MIXED,0.849,0.5926,0.554,0.0
JPM,STEADY,327,332,291.9886,282.8221,LONG,BUY,5,-3.1393,False,TIME,0.734,0.1,19.39,MIXED,0.094,0.069,0.5079,0.0
JPM,STEADY,346,351,294.985,299.4598,LONG,BUY,5,1.517,False,TIME,0.6356,0.99,10.44,MIXED,1.198,0.7614,0.5704,0.0
JPM,STEADY,352,357,290.1553,302.5055,LONG,BUY,5,4.2564,True,TIME,0.5697,0.503,8.88,MIXED,2.242,1.2773,0.4618,0.3918
JPM,STEADY,358,363,304.4669,307.9561,LONG,BUY,5,1.146,True,TIME,0.5665,0.336,9.1,MIXED,2.149,1.2174,0.443,0.2571
JPM,STEADY,437,442,325.3251,306.3024,LONG,BUY,5,-5.8473,False,TIME,0.5547,0.1,9.51,MIXED,-0.93,-0.5159,0.3511,0.0
META,GRINDER,332,336,760.045,778.2523,LONG,BUY,4,2.3956,True,TRAIL,0.5756,0.54,13.83,MIXED,2.196,1.264,0.4785,0.4314
MSFT,GRINDER,303,310,494.577,493.7517,LONG,BUY,7,-0.1669,True,TIME,0.5994,0.902,22.84,MIXED,1.469,0.8805,0.698,0.3477
MSFT,GRINDER,328,330,521.083,524.7019,LONG,BUY,2,0.6945,True,TRAIL,0.706,0.606,43.01,MIXED,2.636,1.861,0.6062,0.6133
NVDA,TREND,303,308,154.9942,159.3135,LONG,BUY,5,2.7867,True,TIME,0.637,0.99,26.35,MIXED,1.825,1.1625,0.744,0.314
NVDA,TREND,309,314,158.2137,164.0427,LONG,BUY,5,3.6843,True,TIME,0.6657,0.558,32.25,MIXED,1.849,1.2309,0.6172,0.1151
NVDA,TREND,316,321,171.3415,170.7516,LONG,BUY,5,-0.3443,True,TIME,0.5879,0.99,35.34,MIXED,1.058,0.622,0.716,0.0
PLTR,EXPLOSIVE,126,130,43.13,42.43,LONG,BUY,4,-1.623,False,TIME,0.5214,0.936,21.44,MEAN_REVERT,1.756,0.9156,0.668,0.0
PLTR,EXPLOSIVE,146,150,55.53,59.85,LONG,BUY,4,7.7796,True,TIME,0.724,0.223,15.99,MIXED,2.741,1.9845,0.4279,0.0
PLTR,EXPLOSIVE,151,154,60.7,61.26,LONG,BUY,3,0.9226,True,TRAIL,0.5004,0.532,16.28,MIXED,2.404,1.203,0.5296,0.0
PLTR,EXPLOSIVE,168,172,72.46,76.07,LONG,BUY,4,4.9821,True,TIME,0.686,0.1,23.94,MIXED,1.199,0.8225,0.506,0.0
PLTR,EXPLOSIVE,178,182,80.69,77.18,LONG,BUY,4,-4.35,False,TIME,0.696,0.391,29.77,MIXED,1.277,0.8888,0.496,0.2056
PLTR,EXPLOSIVE,206,210,101.36,112.62,LONG,BUY,4,11.1089,True,TRAIL,0.5921,0.312,8.18,MIXED,2.621,1.5519,0.4138,0.0
PLTR,EXPLOSIVE,215,219,112.06,87.84,LONG,BUY,4,-21.6134,False,TIME,0.5768,0.245,9.14,MIXED,-0.041,-0.0236,0.3194,0.0
PLTR,EXPLOSIVE,294,297,135.19,138.2,LONG,BUY,3,2.2265,True,TRAIL,0.5245,0.99,17.66,MEAN_REVERT,2.027,1.0632,0.7026,0.036
PLTR,EXPLOSIVE,302,306,142.9,130.68,LONG,BUY,4,-8.5514,False,TIME,0.6749,0.1,18.07,MIXED,0.604,0.4076,0.5147,0.0
PLTR,EXPLOSIVE,316,320,150.91,149.07,LONG,BUY,4,-1.2193,True,TIME,0.6233,0.348,16.49,MIXED,1.659,1.0341,0.4809,0.313
PLTR,EXPLOSIVE,322,326,154.86,158.61,LONG,BUY,4,2.4215,True,TIME,0.5066,0.99,16.94,MIXED,1.439,0.729,0.6654,0.2609
PLTR,EXPLOSIVE,332,336,182.2,184.37,LONG,BUY,4,1.191,False,TIME,0.6626,0.99,16.55,MIXED,2.029,1.3444,0.6895,0.0
PLTR,EXPLOSIVE,394,398,190.74,193.61,LONG,BUY,4,1.5047,True,TIME,0.5239,0.648,10.66,MIXED,-0.768,-0.4024,0.5198,0.0
TSLA,TSLA_SOLO,148,150,321.22,328.49,LONG,BUY,2,2.2632,True,TRAIL,0.5178,0.99,6.37,MIXED,3.235,1.6751,0.5197,0.0
TSLA,TSLA_SOLO,171,175,418.1,440.13,LONG,BUY,4,5.2691,True,TRAIL,0.5938,0.1,14.54,MIXED,2.485,1.4756,0.4314,0.0
TSLA,TSLA_SOLO,359,363,421.62,434.21,LONG,BUY,4,2.9861,True,TIME,0.5392,0.99,9.23,MIXED,2.203,1.1879,0.6063,0.0
V,STEADY,181,186,315.7615,310.1927,LONG,BUY,5,-1.7636,False,TIME,0.6857,0.99,15.88,MIXED,0.264,0.181,0.7108,0.0
V,STEADY,199,204,331.4971,342.6745,LONG,BUY,5,3.3718,True,TIME,0.5656,0.551,8.83,MIXED,2.246,1.2703,0.4166,0.0
V,STEADY,211,216,348.8789,347.8864,LONG,BUY,5,-0.2845,False,TIME,0.5936,0.578,12.44,MIXED,1.298,0.7705,0.4455,0.1347
V,STEADY,294,299,369.2533,336.6131,LONG,BUY,5,-8.8395,False,TIME,0.5979,0.321,8.35,MIXED,-2.689,-1.6078,0.4195,0.0
XOM,TREND,432,436,120.1889,120.2485,LONG,BUY,4,0.0496,False,TRAIL,0.5636,0.844,11.93,MIXED,3.089,1.741,0.5729,0.0295
XOM,TREND,440,445,123.2088,129.5962,LONG,BUY,5,5.1842,True,TIME,0.5705,0.99,10.47,MIXED,2.228,1.2711,0.5887,0.0232
XOM,TREND,447,452,132.7551,139.5797,LONG,BUY,5,5.1407,True,TIME,0.611,0.43,11.84,MIXED,1.924,1.1756,0.3884,0.1873
XOM,TREND,454,459,137.4836,150.2088,LONG,BUY,5,9.2558,True,TIME,0.6149,0.115,13.0,MIXED,1.998,1.2286,0.464,0.1591
XOM,TREND,483,488,157.23,161.13,LONG,BUY,5,2.4804,True,TIME,0.762,0.452,24.87,MIXED,2.184,1.6642,0.527,0.1459
