Symbol,Cluster,N_Trades,Predict_Acc_%,Long_Acc_%,Short_Acc_%,Win_Rate_%,Avg_Win_%,Avg_Loss_%,Total_Return_%,Profit_Factor,Sharpe,Avg_Hold_Bars,Long_Trades,Short_Trades,Z_MIN,TSTAT_MIN,Z_X_CONF_MIN,ZTC_MIN,HOLD_BARS
TSLA,TSLA_SOLO,3,100.0,100.0,0.0,100.0,3.506,0.0,10.52,10518400000.0,2.235,3.3,3,0,2.0,0.0,1.0,3.0,4
NVDA,TREND,3,100.0,100.0,0.0,66.7,3.236,-0.344,6.13,18.79,0.966,5.0,3,0,1.75,10.0,1.0,10.0,5
MSFT,MEGA_GRINDER,2,100.0,100.0,0.0,100.0,0.487,0.0,0.97,973900000.0,1.659,3.5,2,0,2.0,12.0,1.1,14.0,5
META,MEGA_GRINDER,1,100.0,100.0,0.0,100.0,2.396,0.0,2.4,2395600000.0,,4.0,1,0,2.0,12.0,1.1,14.0,5
XOM,TREND,5,80.0,80.0,0.0,100.0,4.422,0.0,22.11,22110700000.0,1.285,4.8,5,0,1.75,10.0,1.0,10.0,5
AVGO,TREND,8,75.0,75.0,0.0,62.5,1.894,-3.71,-1.66,0.85,-0.058,4.6,8,0,1.75,10.0,1.0,10.0,5
GOOGL,TREND,8,75.0,75.0,0.0,75.0,4.625,-3.263,21.22,4.25,0.512,5.0,8,0,1.75,10.0,1.0,10.0,5
PLTR,EXPLOSIVE,13,61.5,61.5,0.0,61.5,4.017,-7.471,-5.22,0.86,-0.05,3.8,13,0,1.75,6.0,0.9,8.0,4
AMZN,STEADY,9,55.6,57.1,50.0,33.3,1.792,-2.35,-8.72,0.38,-0.319,4.6,7,2,1.5,8.0,0.95,8.0,5
COIN,EXPLOSIVE,2,50.0,50.0,0.0,50.0,14.903,-3.805,11.1,3.92,0.419,4.0,2,0,1.75,6.0,0.9,8.0,4
JPM,STEADY,8,37.5,37.5,0.0,50.0,2.543,-3.0,-1.83,0.85,-0.067,5.0,8,0,1.5,8.0,0.95,8.0,5
V,STEADY,4,25.0,25.0,0.0,25.0,3.372,-3.629,-7.52,0.31,-0.367,5.0,4,0,1.5,8.0,0.95,8.0,5
