symbol,cluster,entry_bar,exit_bar,entry_price,exit_price,position,signal,bars_held,pnl_pct,correct,exit_reason,confidence,hurst,tstat,regime,entry_z,z_score,z_delta,z_accel,entry_z_delta,z_x_conf,ztc,long_score,short_score
AMZN,STEADY,147,152,210.05,211.48,SHORT,SHORT,5,-0.6808,True,TIME,0.6582,0.1,10.53,MIXED,3.439,2.322,0.2737,0.2589,0.7525,1.5283,16.0934,0.4113,0.4099
AVGO,TREND,302,306,263.1408,263.2303,LONG,BUY,4,0.034,True,TRAIL,0.7411,0.367,29.92,MIXED,1.852,2.092,0.2679,0.5103,0.8057,1.5504,46.3874,0.554,0.0
AVGO,TREND,318,323,281.7242,288.5252,LONG,BUY,5,2.4141,True,TIME,0.5635,0.492,27.8,MIXED,1.816,1.526,0.3062,-0.0124,0.2907,0.8599,23.9052,0.5147,0.3163
AVGO,TREND,326,331,300.8943,299.9497,LONG,BUY,5,-0.3139,True,TIME,0.6445,0.99,30.81,MIXED,1.818,1.133,-0.4535,-1.1664,0.114,0.7302,22.498,0.668,0.0
AVGO,TREND,332,337,302.0278,309.4552,LONG,BUY,5,2.4592,True,TIME,0.8177,0.961,33.5,MIXED,1.822,1.709,-0.4144,-0.9426,0.6892,1.3974,46.8146,0.668,0.3718
AVGO,TREND,353,356,343.6789,357.5792,LONG,BUY,3,4.0446,True,TRAIL,0.6447,0.1,13.93,MIXED,3.742,3.571,1.1207,2.2703,2.7537,2.3022,32.07,0.5443,0.0519
COIN,EXPLOSIVE,300,304,307.59,353.43,LONG,BUY,4,14.903,True,TRAIL,0.5487,0.469,15.8,MIXED,2.563,3.094,-0.1096,0.0881,0.4198,1.6977,26.8233,0.4978,0.1309
GOOGL,TREND,345,350,206.6741,230.1412,LONG,BUY,5,11.3546,True,TIME,0.5534,0.99,23.49,MIXED,1.832,1.709,-0.3781,-0.4219,0.224,0.9458,22.2159,0.726,0.0127
GOOGL,TREND,355,360,238.8455,249.1915,LONG,BUY,5,4.3316,True,TIME,0.5773,0.878,22.0,MIXED,2.427,1.996,-0.2452,-0.6518,0.0872,1.1523,25.3504,0.6692,0.1568
GOOGL,TREND,455,459,339.471,324.0919,LONG,BUY,4,-4.5303,False,Z_COLLAPSE,0.5871,0.99,10.92,MIXED,1.813,-0.472,-0.9296,-0.6971,0.4376,-0.2771,-3.0261,0.5472,0.0
JPM,STEADY,299,304,269.7538,281.6328,LONG,BUY,5,4.4036,True,TIME,0.5502,0.456,18.79,MEAN_REVERT,1.943,3.011,0.0949,0.13,0.7883,1.6567,31.1285,0.5641,0.1001
JPM,STEADY,306,311,284.8698,279.0963,LONG,BUY,5,-2.0267,False,TIME,0.554,0.1,25.23,MEAN_REVERT,2.39,0.874,-0.8833,-0.345,-0.002,0.4842,12.2163,0.516,0.0
META,MEGA_GRINDER,332,336,760.045,778.2523,LONG,BUY,4,2.3956,True,TRAIL,0.5756,0.54,13.83,MIXED,2.189,2.196,0.6943,0.9419,0.1285,1.264,17.4814,0.5502,0.4314
MSFT,MEGA_GRINDER,303,308,494.577,495.959,LONG,BUY,5,0.2794,True,TIME,0.5994,0.99,23.47,MIXED,2.119,1.239,-0.1589,0.3295,-0.0404,0.7427,17.4302,0.726,0.2635
NVDA,TREND,303,308,154.9942,159.3135,LONG,BUY,5,2.7867,True,TIME,0.7325,0.99,26.35,MIXED,2.639,1.825,0.3586,1.1341,0.9897,1.3368,35.225,0.744,0.314
NVDA,TREND,309,314,158.2137,164.0427,LONG,BUY,5,3.6843,True,TIME,0.6657,0.558,32.25,MIXED,1.906,1.849,-0.0579,-0.0281,0.0809,1.2309,39.6959,0.6172,0.1151
NVDA,TREND,316,321,171.3415,170.7516,LONG,BUY,5,-0.3443,True,TIME,0.676,0.99,35.34,MIXED,2.148,1.058,-0.4857,-0.2706,0.5329,0.7152,25.2755,0.716,0.0
PLTR,EXPLOSIVE,128,132,43.51,42.0,LONG,BUY,4,-3.4705,False,TIME,0.704,0.99,24.51,MIXED,2.113,1.214,-0.1976,0.1465,-0.0943,0.8547,20.9476,0.686,0.0
PLTR,EXPLOSIVE,154,158,61.26,64.35,LONG,BUY,4,5.0441,True,TIME,0.609,0.505,17.54,MIXED,2.404,1.303,-0.1893,0.0409,0.5896,0.7935,13.9185,0.5212,0.0
PLTR,EXPLOSIVE,181,185,79.08,79.89,LONG,BUY,4,1.0243,False,TIME,0.5546,0.99,27.43,MIXED,1.825,0.516,-0.1221,0.173,-0.193,0.2862,7.8497,0.686,0.0
PLTR,EXPLOSIVE,302,305,142.9,136.32,LONG,BUY,3,-4.6046,False,Z_COLLAPSE,0.6749,0.551,18.83,MIXED,1.895,-0.137,-1.891,-1.9156,0.3496,-0.0925,-1.741,0.5167,0.0
PLTR,EXPLOSIVE,317,321,153.99,154.63,LONG,BUY,4,0.4156,True,TIME,0.5436,0.536,16.41,MIXED,1.984,1.206,-0.4532,-0.2076,0.1461,0.6556,10.7581,0.4964,0.2164
PLTR,EXPLOSIVE,322,326,154.86,158.61,LONG,BUY,4,2.4215,True,TIME,0.5826,0.99,16.94,MIXED,1.86,1.439,-0.3239,-0.0366,0.6535,0.8384,14.2018,0.6654,0.2609
PLTR,EXPLOSIVE,394,397,190.74,177.93,LONG,BUY,3,-6.716,True,Z_COLLAPSE,0.5239,0.698,9.9,MIXED,3.057,-1.129,-1.6111,-1.2127,0.2663,-0.5915,-5.8557,0.4482,0.0
TSLA,TSLA_SOLO,147,150,296.91,328.49,LONG,BUY,3,10.6362,True,TRAIL,0.5688,0.99,6.37,MIXED,2.418,3.235,0.2499,-0.2464,1.8767,1.8401,11.7212,0.5197,0.0
TSLA,TSLA_SOLO,171,175,418.1,440.13,LONG,BUY,4,5.2691,True,TRAIL,0.5938,0.1,14.54,MIXED,2.078,2.485,0.1162,-0.2264,0.3334,1.4756,21.4551,0.4314,0.0
TSLA,TSLA_SOLO,359,363,421.62,434.21,LONG,BUY,4,2.9861,True,TIME,0.5392,0.99,9.23,MIXED,3.299,2.203,0.0215,0.6224,-0.0053,1.1879,10.9639,0.6063,0.0
TSLA,TSLA_SOLO,390,391,461.51,440.1,LONG,BUY,1,-4.6391,False,STOP,0.7621,0.99,17.29,MIXED,2.094,1.966,-0.128,-0.6654,0.5374,1.4983,25.9054,0.7169,0.5407
