symbol,cluster,entry_bar,exit_bar,entry_price,exit_price,position,signal,bars_held,pnl_pct,correct,exit_reason,confidence,hurst,tstat,regime,entry_z,z_score,z_delta,z_accel,entry_z_delta,entry_z_accel,z_x_conf,ztc,long_score,short_score
AMZN,STEADY,148,153,208.18,202.61,SHORT,SHORT,5,2.6756,True,TIME,0.5605,0.506,11.01,MEAN_REVERT,3.153,1.857,-0.4649,-0.7386,-0.286,-1.0385,1.0408,11.4597,0.4204,0.3092
AVGO,TREND,302,306,263.1408,263.2303,LONG,BUY,4,0.034,True,TRAIL,0.7411,0.367,29.92,MIXED,1.852,2.092,0.2679,0.5103,0.8057,0.5503,1.5504,46.3874,0.554,0.0
AVGO,TREND,318,323,281.7242,288.5252,LONG,BUY,5,2.4141,True,TIME,0.5635,0.492,27.8,MIXED,1.816,1.526,0.3062,-0.0124,0.2907,0.4227,0.8599,23.9052,0.5147,0.3163
AVGO,TREND,326,331,300.8943,299.9497,LONG,BUY,5,-0.3139,True,TIME,0.6445,0.99,30.81,MIXED,1.818,1.133,-0.4535,-1.1664,0.114,-0.0607,0.7302,22.498,0.668,0.0
AVGO,TREND,353,356,343.6789,357.5792,LONG,BUY,3,4.0446,True,TRAIL,0.6447,0.1,13.93,MIXED,3.742,3.571,1.1207,2.2703,2.7537,2.6902,2.3022,32.07,0.5443,0.0519
COIN,EXPLOSIVE,300,304,307.59,353.43,LONG,BUY,4,14.903,True,TRAIL,0.5487,0.469,15.8,MIXED,2.563,3.094,-0.1096,0.0881,0.4198,0.8095,1.6977,26.8233,0.4978,0.1309
GOOGL,TREND,348,353,212.4312,233.7225,LONG,BUY,5,10.0227,True,TIME,0.7081,0.99,21.0,MIXED,2.043,2.744,-0.2539,0.2215,0.5031,0.5243,1.943,40.8036,0.792,0.0632
GOOGL,TREND,355,360,238.8455,249.1915,LONG,BUY,5,4.3316,True,TIME,0.5773,0.878,22.0,MIXED,2.427,1.996,-0.2452,-0.6518,0.0872,0.491,1.1523,25.3504,0.6692,0.1568
GOOGL,TREND,455,459,339.471,324.0919,LONG,BUY,4,-4.5303,False,Z_COLLAPSE,0.5871,0.99,10.92,MIXED,1.813,-0.472,-0.9296,-0.6971,0.4376,0.5566,-0.2771,-3.0261,0.5472,0.0
JPM,STEADY,301,306,275.8944,284.8698,LONG,BUY,5,3.2532,True,TIME,0.5512,0.1,22.93,MIXED,2.629,2.39,-0.002,0.6167,0.4752,0.2639,1.3174,30.2072,0.554,0.2118
