symbol,cluster,entry_bar,exit_bar,entry_price,exit_price,position,signal,bars_held,pnl_pct,correct,exit_reason,confidence,entry_hurst,hurst,tstat,regime,entry_z,z_score,z_delta,z_accel,entry_z_delta,entry_z_accel,z_thrust,z_x_conf,ztc,long_score,short_score
AMZN,STEADY,148,153,208.18,202.61,SHORT,SHORT,5,2.6756,True,TIME,0.5605,0.1,0.506,11.01,MEAN_REVERT,3.153,1.857,-0.4649,-0.7386,-0.286,-1.0385,0.29701,1.0408,11.4597,0.4204,0.3092
AVGO,TREND,304,309,267.814,272.6165,LONG,BUY,5,1.7932,True,TIME,0.7486,0.792,0.896,29.14,MIXED,2.066,1.756,0.2701,-0.028,0.2523,0.2902,0.07322,1.3145,38.3057,0.7344,0.0
AVGO,TREND,353,356,343.6789,357.5792,LONG,BUY,3,4.0446,True,TRAIL,0.6447,0.552,0.1,13.93,MIXED,3.742,3.571,1.1207,2.2703,2.7537,2.6902,7.408,2.3022,32.07,0.5443,0.0519
COIN,EXPLOSIVE,300,304,307.59,353.43,LONG,BUY,4,14.903,True,TRAIL,0.5487,0.748,0.469,15.8,MIXED,2.563,3.094,-0.1096,0.0881,0.4198,0.8095,0.33983,1.6977,26.8233,0.4978,0.1309
GOOGL,TREND,348,353,212.4312,233.7225,LONG,BUY,5,10.0227,True,TIME,0.7081,0.624,0.99,21.0,MIXED,2.043,2.744,-0.2539,0.2215,0.5031,0.5243,0.26378,1.943,40.8036,0.792,0.0632
JPM,STEADY,301,306,275.8944,284.8698,LONG,BUY,5,3.2532,True,TIME,0.5512,0.512,0.1,22.93,MIXED,2.629,2.39,-0.002,0.6167,0.4752,0.2639,0.12541,1.3174,30.2072,0.554,0.2118
META,MEGA_GRINDER,332,336,760.045,778.2523,LONG,BUY,4,2.3956,True,TRAIL,0.5756,0.732,0.54,13.83,MIXED,2.189,2.196,0.6943,0.9419,0.1285,1.0435,0.13409,1.264,17.4814,0.5502,0.4314
NVDA,TREND,303,308,154.9942,159.3135,LONG,BUY,5,2.7867,True,TIME,0.7325,0.727,0.99,26.35,MIXED,2.639,1.825,0.3586,1.1341,0.9897,0.34,0.3365,1.3368,35.225,0.744,0.314
PLTR,EXPLOSIVE,154,158,61.26,64.35,LONG,BUY,4,5.0441,True,TIME,0.609,0.532,0.505,17.54,MIXED,2.404,1.303,-0.1893,0.0409,0.5896,0.9968,0.58771,0.7935,13.9185,0.5212,0.0
TSLA,TSLA_SOLO,147,150,296.91,328.49,LONG,BUY,3,10.6362,True,TRAIL,0.5688,0.844,0.99,6.37,MIXED,2.418,3.235,0.2499,-0.2464,1.8767,1.3628,2.55757,1.8401,11.7212,0.5197,0.0
V,STEADY,198,203,327.1966,338.6911,LONG,BUY,5,3.513,True,TIME,0.5982,0.648,0.36,8.88,MIXED,2.611,2.706,0.4105,0.5432,0.6202,0.8405,0.52128,1.6187,14.3743,0.3948,0.0
XOM,TREND,485,490,157.59,163.26,LONG,BUY,5,3.5979,True,TIME,0.6915,0.699,0.352,24.75,MIXED,2.432,2.794,0.5107,0.412,0.4797,0.29,0.13911,1.9321,47.8183,0.6256,0.1249
