symbol,cluster,entry_bar,exit_bar,entry_price,exit_price,position,signal,bars_held,pnl_pct,correct,exit_reason,confidence,entry_hurst,hurst,tstat,regime,entry_z,z_score,z_delta,z_accel,entry_z_delta,entry_z_accel,entry_z_thrust,z_thrust,entry_momentum_product,z_x_conf,ztc,long_score,short_score,guardian_bars,live_pb_blocked,orbit_bars,zpd_bars,orbit_extended,zpd_extended,trail_orbit_bars,trail_orbit_held
AMZN,STEADY,147,154,208.18,204.61,SHORT,SHORT,7,1.7149,True,TRAIL,0.5605,0.1,0.99,11.19,MEAN_REVERT,3.153,0.733,-0.1479,0.8279,-0.286,-1.0385,0.29701,0.29701,-0.9018,0.4108,4.5974,0.5879,0.0,0,False,0,2,False,True,0,False
AVGO,TREND,303,312,267.814,272.8153,LONG,BUY,9,1.8675,True,TIME,0.7486,0.792,0.1,28.86,MIXED,2.066,1.452,-0.2873,-0.695,0.2523,0.2902,0.07322,0.07322,0.5213,1.087,31.3699,0.478,0.0,0,False,1,0,True,False,0,False
COIN,EXPLOSIVE,299,321,307.59,396.7,LONG,BUY,22,28.9704,True,TRAIL,0.5487,0.748,0.99,20.08,MIXED,2.563,0.961,-0.1789,0.0526,0.4198,0.8095,0.33983,0.33983,1.0759,0.5273,10.5882,0.666,0.0,4,True,9,5,True,True,4,True
GOOGL,TREND,347,359,212.4312,249.1915,LONG,BUY,12,17.3046,True,TIME,0.7081,0.624,0.878,22.0,MIXED,2.043,1.996,-0.2452,-0.6518,0.5031,0.5243,0.26378,0.26378,1.0278,1.4134,31.0941,0.6692,0.1568,0,False,4,0,True,False,0,False
JPM,STEADY,300,309,275.8944,278.7217,LONG,BUY,9,1.0248,True,TRAIL,0.5512,0.512,0.677,25.63,MIXED,2.629,1.757,-0.5383,-0.7544,0.4752,0.2639,0.12541,0.12541,1.2493,0.9685,24.8216,0.6089,0.3292,0,False,4,0,True,False,1,True
META,MEGA_GRINDER,331,335,760.045,778.2523,LONG,BUY,4,2.3956,True,TRAIL,0.5756,0.732,0.54,13.83,MIXED,2.189,2.196,0.6943,0.9419,0.1285,1.0435,0.13409,0.13409,0.2813,1.264,17.4814,0.5502,0.4314,0,False,0,0,False,False,0,False
NVDA,TREND,302,339,154.9942,175.6108,LONG,BUY,37,13.3015,True,TRAIL,0.7325,0.727,0.605,43.23,MIXED,2.639,1.133,0.1822,0.4455,0.9897,0.34,0.3365,0.3365,2.6118,0.8299,35.8775,0.6259,0.0,0,False,19,10,True,True,3,True
PLTR,EXPLOSIVE,153,169,61.26,72.51,LONG,BUY,16,18.3644,True,TRAIL,0.609,0.532,0.99,22.28,MIXED,2.404,1.083,-0.2277,0.2534,0.5896,0.9968,0.58771,0.58771,1.4174,0.6595,14.6947,0.714,0.0,1,True,5,6,True,True,1,True
TSLA,TSLA_SOLO,146,177,296.91,430.6,LONG,BUY,31,45.0271,True,TRAIL,0.5688,0.844,0.1,17.69,MIXED,2.418,1.054,-0.3852,-0.2093,1.8767,1.3628,2.55757,2.55757,4.5379,0.5995,10.6054,0.3969,0.0,5,True,13,9,True,True,8,True
V,STEADY,197,203,327.1966,342.6745,LONG,BUY,6,4.7305,True,TIME,0.5982,0.648,0.551,8.83,MIXED,2.611,2.246,-0.4598,-0.8703,0.6202,0.8405,0.52128,0.52128,1.6193,1.3436,11.8636,0.4166,0.0,0,False,1,0,True,False,0,False
XOM,TREND,484,495,157.59,160.69,LONG,BUY,11,1.9671,True,TRAIL,0.6915,0.699,0.946,23.39,MIXED,2.432,0.655,-1.3101,-0.844,0.4797,0.29,0.13911,0.13911,1.1666,0.4529,10.5941,0.696,0.0,0,False,3,0,True,False,1,True
