symbol,cluster,entry_bar,exit_bar,entry_price,exit_price,position,signal,bars_held,pnl_pct,correct,exit_reason,confidence,entry_hurst,hurst,tstat,regime,entry_z,z_score,z_delta,z_accel,entry_z_delta,entry_z_accel,entry_z_thrust,entry_momentum_product,z_thrust,z_x_conf,ztc,long_score,short_score,guardian_bars,live_pb_blocked,orbit_bars,zpd_bars,orbit_extended,zpd_extended,trail_orbit_bars,trail_orbit_held,explosive_z_bail
AMZN,STEADY,147,154,208.18,204.61,SHORT,SHORT,7,1.7149,True,TRAIL,0.5605,0.1,0.99,11.19,MEAN_REVERT,3.153,0.733,-0.1479,0.8279,-0.286,-1.0385,0.29701,-0.9018,0.29701,0.4108,4.5974,0.5879,0.0,0,False,0,2,False,True,0,False,False
AVGO,TREND,303,312,267.814,272.8153,LONG,BUY,9,1.8674,True,TIME,0.7486,0.792,0.1,28.86,MIXED,2.066,1.452,-0.2873,-0.695,0.2523,0.2902,0.07322,0.5213,0.07322,1.087,31.3699,0.478,0.0,0,False,1,0,True,False,0,False,False
COIN,EXPLOSIVE,299,321,307.59,396.7,LONG,BUY,22,28.9704,True,Z_BAIL,0.5487,0.748,0.99,20.08,MIXED,2.563,0.961,-0.1789,0.0526,0.4198,0.8095,0.33983,1.0759,0.33983,0.5273,10.5882,0.666,0.0,2,True,11,5,True,True,5,True,True
GOOGL,TREND,347,365,212.4312,245.4565,LONG,BUY,18,15.5464,True,TRAIL,0.7081,0.624,0.261,23.48,MIXED,2.043,1.047,-0.295,-0.1521,0.5031,0.5243,0.26378,1.0278,0.26378,0.7414,17.4076,0.43,0.0,0,False,9,1,True,True,1,True,False
JPM,STEADY,300,310,275.8944,279.0963,LONG,BUY,10,1.1605,True,TRAIL,0.5512,0.512,0.1,25.23,MIXED,2.629,0.874,-0.8833,-0.345,0.4752,0.2639,0.12541,1.2493,0.12541,0.4817,12.1545,0.516,0.0,0,False,3,0,True,False,0,False,False
META,MEGA_GRINDER,331,336,760.045,780.2974,LONG,BUY,5,2.6646,True,TRAIL,0.5756,0.732,0.1,13.88,MIXED,2.189,1.676,-0.5203,-1.2146,0.1285,1.0435,0.13409,0.2813,0.13409,0.9647,13.3901,0.3668,0.3397,0,False,0,0,False,False,0,False,False
NVDA,TREND,302,339,154.9942,175.6108,LONG,BUY,37,13.3015,True,TRAIL,0.7325,0.727,0.605,43.23,MIXED,2.639,1.133,0.1822,0.4455,0.9897,0.34,0.3365,2.6118,0.3365,0.8299,35.8775,0.6259,0.0,0,False,19,10,True,True,3,True,False
PLTR,EXPLOSIVE,153,169,61.26,72.51,LONG,BUY,16,18.3644,True,Z_BAIL,0.609,0.532,0.99,22.28,MIXED,2.404,1.083,-0.2277,0.2534,0.5896,0.9968,0.58771,1.4174,0.58771,0.6595,14.6947,0.714,0.0,1,True,5,6,True,True,1,True,True
TSLA,TSLA_SOLO,146,183,296.91,379.28,LONG,BUY,37,27.7424,True,TIME,0.5688,0.844,0.291,24.84,MIXED,2.418,0.225,-0.3374,0.0046,1.8767,1.3628,2.55757,4.5379,2.55757,0.128,3.179,0.458,0.0,1,True,17,13,True,True,15,True,False
V,STEADY,197,203,327.1966,342.6745,LONG,BUY,6,4.7305,True,TIME,0.5982,0.648,0.551,8.83,MIXED,2.611,2.246,-0.4598,-0.8703,0.6202,0.8405,0.52128,1.6193,0.52128,1.3436,11.8636,0.4166,0.0,0,False,1,0,True,False,0,False,False
XOM,TREND,484,495,157.59,160.69,LONG,BUY,11,1.9671,True,TRAIL,0.6915,0.699,0.946,23.39,MIXED,2.432,0.655,-1.3101,-0.844,0.4797,0.29,0.13911,1.1666,0.13911,0.4529,10.5941,0.696,0.0,0,False,3,0,True,False,1,True,False
