symbol,cluster,entry_bar,exit_bar,entry_price,exit_price,position,signal,bars_held,pnl_pct,correct,exit_reason,confidence,entry_hurst,hurst,tstat,regime,entry_z,z_score,z_delta,z_accel,entry_z_delta,entry_z_accel,entry_z_thrust,entry_momentum_product,z_thrust,z_x_conf,ztc,long_score,short_score,guardian_bars,live_pb_blocked,orbit_bars,zpd_bars,orbit_extended,zpd_extended,trail_orbit_bars,trail_orbit_held,explosive_z_bail,peak_locked,peak_pnl,orbit_entry_pnl
AMZN,STEADY,147,154,208.18,204.61,SHORT,SHORT,7,1.7149,True,TRAIL,0.5605,0.1,0.99,11.19,MEAN_REVERT,3.153,0.733,-0.1479,0.8279,-0.286,-1.0385,0.29701,-0.9018,0.29701,0.4108,4.5974,0.5879,0.0,0,False,0,2,False,True,0,False,False,False,3.1127,2.6756
AVGO,TREND,303,312,267.814,272.8153,LONG,BUY,9,1.8674,True,TIME,0.7486,0.792,0.1,28.86,MIXED,2.066,1.452,-0.2873,-0.695,0.2523,0.2902,0.07322,0.5213,0.07322,1.087,31.3699,0.478,0.0,0,False,1,0,True,False,0,False,False,False,3.1743,2.2461
COIN,EXPLOSIVE,299,305,307.59,335.33,LONG,BUY,6,9.0185,True,TRAIL,0.5487,0.748,0.1,16.65,MIXED,2.563,1.886,-0.2814,0.6457,0.4198,0.8095,0.33983,1.0759,0.33983,1.0348,17.2302,0.4225,0.0,0,False,0,0,False,False,0,False,False,True,21.9383,
GOOGL,TREND,347,362,212.4312,252.1874,LONG,BUY,15,18.7149,True,TRAIL,0.7081,0.624,0.615,21.62,MIXED,2.043,1.716,-0.01,0.0095,0.5031,0.5243,0.26378,1.0278,0.26378,1.2151,26.2705,0.592,0.0859,0,False,7,0,True,False,0,False,False,True,19.7444,12.9984
JPM,STEADY,300,310,275.8944,279.0963,LONG,BUY,10,1.1606,True,TRAIL,0.5512,0.512,0.1,25.23,MIXED,2.629,0.874,-0.8833,-0.345,0.4752,0.2639,0.12541,1.2493,0.12541,0.4817,12.1545,0.516,0.0,0,False,3,0,True,False,0,False,False,False,5.7477,3.2532
META,MEGA_GRINDER,331,336,760.045,780.2974,LONG,BUY,5,2.6646,True,TRAIL,0.5756,0.732,0.1,13.88,MIXED,2.189,1.676,-0.5203,-1.2146,0.1285,1.0434,0.13408,0.2813,0.13408,0.9647,13.3901,0.3668,0.3397,0,False,0,0,False,False,0,False,False,False,3.6977,
NVDA,TREND,302,327,154.9942,173.6911,LONG,BUY,25,12.063,True,TRAIL,0.7325,0.727,0.571,36.46,MIXED,2.639,1.408,-0.2142,-0.4609,0.9897,0.34,0.3365,2.6118,0.3365,1.0314,37.6034,0.5565,0.0628,0,False,13,4,True,True,1,True,False,True,15.6432,5.0703
PLTR,EXPLOSIVE,153,167,61.26,72.46,LONG,BUY,14,18.2827,True,TRAIL,0.609,0.532,0.967,20.76,MIXED,2.404,1.792,0.3133,0.2068,0.5896,0.9968,0.58771,1.4174,0.58771,1.0913,22.656,0.686,0.0,0,False,5,5,True,True,0,False,False,True,24.6164,5.0441
TSLA,TSLA_SOLO,146,175,296.91,436.17,LONG,BUY,29,46.9031,True,TRAIL,0.5688,0.844,0.1,15.5,MIXED,2.418,1.615,-0.8699,-0.9861,1.8767,1.3628,2.55757,4.5379,2.55757,0.9186,14.2385,0.441,0.0,1,True,13,8,True,True,6,True,False,True,61.618,8.0193
V,STEADY,197,203,327.1965,342.6745,LONG,BUY,6,4.7305,True,TIME,0.5982,0.648,0.551,8.83,MIXED,2.611,2.246,-0.4598,-0.8703,0.6202,0.8405,0.52128,1.6193,0.52128,1.3436,11.8636,0.4166,0.0,0,False,1,0,True,False,0,False,False,False,4.7305,3.513
XOM,TREND,484,494,157.59,160.78,LONG,BUY,10,2.0242,True,TIME,0.6915,0.699,0.115,24.4,MIXED,2.432,1.965,-0.4661,-0.1697,0.4797,0.29,0.13911,1.1666,0.13911,1.3588,33.1547,0.506,0.0446,0,False,2,0,True,False,1,True,False,False,8.8077,8.8077
