symbol,rows_used,avg_volume_20d,shares_at_1pct_adv,last_close,cash_value_1pct_adv,status
AAPL,20,43431800.4,434318.0,260.54,113157216.47,ok
ADI,20,4565797.15,45657.97,317.94,14516495.57,ok
AMZN,20,52257746.5,522577.47,212.225,110904005.7,ok
AVGO,20,25061408.55,250614.09,340.59,85356650.46,ok
AVIV,20,83803.6,838.04,75.4748,63250.6,ok
AX,20,347964.0,3479.64,85.51,297544.02,ok
BAUG,20,7708.8,77.09,50.1,3862.11,ok
BBN,20,177590.65,1775.91,16.182,28737.72,ok
BDRFY,20,172176.95,1721.77,18.31,31525.6,ok
BILS,20,502364.7,5023.65,99.255,498622.07,ok
BKEM,20,4149.25,41.49,81.697,3389.81,ok
BWMN,20,136285.15,1362.85,28.38,38677.72,ok
BXP,20,3707104.8,37071.05,52.1575,1933533.23,ok
CALM,20,813664.35,8136.64,89.33,726846.38,ok
CBL,20,155236.95,1552.37,38.21,59316.04,ok
COPJ,20,174902.55,1749.03,43.03,75260.57,ok
COST,20,2033659.3,20336.59,993.14,20197084.27,ok
CPT,20,970221.95,9702.22,101.74,987103.79,ok
CROX,20,1626046.3,16260.46,80.9875,1316894.3,ok
CUBE,20,2437091.4,24370.91,38.83,946322.64,ok
CZWI,20,56465.25,564.65,18.0,10163.75,ok
DFEB,20,63036.2,630.36,48.0631,30297.15,ok
DHC,20,2153367.05,21533.67,7.48,161071.86,ok
DRIV,20,50541.55,505.42,31.1106,15723.78,ok
ECNS,20,29920.85,299.21,34.3966,10291.75,ok
EFAX,20,20712.25,207.12,50.94,10550.82,ok
EJAN,20,26758.9,267.59,34.32,9183.65,ok
FOLD,20,3970661.05,39706.61,14.375,570782.53,ok
FRNW,20,51359.05,513.59,22.7199,11668.72,ok
GFEB,20,78412.15,784.12,41.755,32740.99,ok
GIS,20,7900233.6,79002.34,41.11,3247786.08,ok
GLDI,20,13803.25,138.03,182.0,25121.92,ok
GLPI,20,2514459.95,25144.6,47.7,1199397.42,ok
GOOGL,20,33648060.65,336480.61,308.6285,103847508.07,ok
GS,20,2555605.35,25556.05,819.53,20943953.27,ok
HAFC,20,271597.4,2715.97,25.085,68130.21,ok
HIW,20,1824085.1,18240.85,22.05,402210.75,ok
HOG,20,3927933.25,39279.33,18.545,728435.22,ok
HRMY,20,1344885.3,13448.85,28.75,386654.52,ok
IAUM,20,6095394.05,60953.94,51.4999,3139121.89,ok
IBLC,20,25162.7,251.63,40.92,10296.58,ok
IDRV,20,16342.35,163.42,38.41,6277.1,ok
IDX,20,49248.4,492.48,14.23,7008.05,ok
IEO,20,114557.15,1145.57,114.2641,130897.7,ok
IPO,20,22399.65,224.0,43.4773,9738.76,ok
JPM,20,9998207.4,99982.07,286.225,28617369.74,ok
KOF,20,249805.45,2498.05,101.68,254002.18,ok
LEGH,20,99949.7,999.5,19.77,19760.06,ok
LEMB,20,426795.8,4267.96,41.56,177376.34,ok
MDY,20,1216803.7,12168.04,622.69,7576914.99,ok
META,20,11854409.2,118544.09,652.62,77364244.74,ok
MPC,20,2501400.25,25014.0,224.9197,5626141.76,ok
MSFT,20,34861696.6,348616.97,403.525,140675659.08,ok
NDAQ,20,4768670.05,47686.7,85.15,4060522.62,ok
NPFD,20,67981.35,679.81,19.11,12991.24,ok
NVDA,20,189878311.0,1898783.11,185.215,351683106.77,ok
NVS,20,2901023.4,29010.23,155.74,4518054.0,ok
NXRT,20,218619.05,2186.19,26.11,57081.44,ok
OXLC,20,2349507.05,23495.07,8.97,210750.79,ok
PCYO,20,55724.05,557.24,10.02,5583.55,ok
PINE,20,252173.7,2521.74,19.11,48190.4,ok
PLTR,20,54120439.05,541204.39,150.96,81700218.42,ok
PRDO,20,611638.3,6116.38,33.8101,206795.52,ok
PREF,20,208191.7,2081.92,19.0369,39633.24,ok
PSCD,20,1857.05,18.57,106.95,1986.11,ok
QMOM,20,20357.9,203.58,69.66,14181.31,ok
RTMVY,20,213845.05,2138.45,12.24,26174.63,ok
SBR,20,34358.1,343.58,74.26,25514.33,ok
SDS,20,4196726.35,41967.26,70.6477,2964890.53,ok
SGRY,20,2327133.95,23271.34,13.485,313814.01,ok
SHYL,20,34526.85,345.27,44.4385,15343.21,ok
SPMD,20,3412757.65,34127.58,59.8139,2041303.45,ok
STVN,20,609528.85,6095.29,15.14,92282.67,ok
SXT,20,378649.5,3786.49,90.765,343681.22,ok
THO,20,735069.25,7350.69,84.84,623632.72,ok
TRN,20,703624.05,7036.24,30.78,216575.49,ok
TTI,20,1967104.15,19671.04,8.585,168875.89,ok
URBN,20,1793994.3,17939.94,65.11,1168069.7,ok
VIOV,20,48593.25,485.93,100.95,49054.88,ok
VTEB,20,7623810.45,76238.1,50.37,3840113.24,ok
YETI,20,1676246.05,16762.46,37.82,633956.25,ok
ZVRA,20,1303544.95,13035.45,10.09,131527.69,ok
