Generated_At_UTC,Long_Pick,Long_Score,Short_Pick,Short_Score,Raw_Universe_Count,Optimized_Universe_Count
2026-03-15T18:50:21.349770+00:00,FLIN,0.506041,KROS,0.085029,94,81
2026-03-19T10:18:40.029567+00:00,FFBC,0.959961,FDD,0.222216,94,80
2026-03-19T10:20:11.318673+00:00,DFSD,-0.173485,XSHD,-0.599984,94,81
2026-03-20T10:19:02.952770+00:00,FIX,0.035700,MLM,-0.025882,93,78
2026-03-20T10:19:13.716128+00:00,SHV,-0.620477,SNY,-1.452739,94,78
2026-03-21T10:20:30.632194+00:00,RDCM,0.508376,XHLF,0.063721,93,79
2026-03-21T10:20:31.720595+00:00,XHLF,-0.313973,PETS,-0.668308,93,79
2026-03-22T10:19:37.317002+00:00,PLTR,0.035742,CRAI,-0.084965,94,79
2026-03-22T10:19:38.194784+00:00,FLTR,-0.394140,CRAI,-0.674163,94,79
2026-03-23T10:18:58.280986+00:00,KROS,-0.050029,CUT,-0.156101,93,74
2026-03-23T10:19:58.107414+00:00,FSRCY,-0.477006,CL,-0.805793,92,77
2026-03-24T10:15:25.935440+00:00,CJEWY,-0.268987,GLRE,-0.431873,93,81
2026-03-25T10:15:03.478371+00:00,STE,-0.146273,CENT,-0.194825,94,79
2026-03-26T10:14:48.975014+00:00,AVA,1.166711,BOXX,0.537164,94,79
2026-03-27T10:15:30.352074+00:00,ULTY,1.290463,GSST,0.461524,94,77
2026-03-30T10:13:06.779593+00:00,GTMEY,-0.567561,LBTYA,-1.249381,94,73
