symbol,rows_used,avg_volume_20d,shares_at_1pct_adv,last_close,cash_value_1pct_adv,status
AAPL,20,38924178.4,389241.78,249.94,97287092.44,ok
ABOT,20,375.0,3.75,34.149,128.06,ok
ADPT,20,2143848.5,21438.49,13.28,284703.08,ok
AMSF,20,206393.5,2063.93,32.79,67676.43,ok
AMZN,20,46411629.75,464116.3,209.87,97404085.09,ok
ARKG,20,2552342.95,25523.43,26.34,672287.14,ok
ATKR,20,301092.0,3010.92,55.3,166503.87,ok
AVGO,20,28298329.45,282983.29,315.93,89402910.16,ok
BALT,20,322371.85,3223.72,33.47,107897.86,ok
BHVN,20,2257956.65,22579.57,9.09,205248.26,ok
BTCO,20,114916.05,1149.16,70.73,81280.13,ok
BUFD,20,250104.75,2501.05,28.1,70279.44,ok
BUFF,20,78495.85,784.96,49.61,38941.79,ok
BZH,20,395183.8,3951.84,20.04,79194.84,ok
CAE,20,701934.35,7019.34,27.51,193102.14,ok
CC,20,3996700.1,39967.0,19.02,760172.38,ok
COIN,20,13087646.75,130876.47,202.29,26474999.73,ok
COST,20,1866314.5,18663.15,979.92,18288388.73,ok
DBB,20,406734.3,4067.34,23.28,94687.75,ok
DCO,20,177823.1,1778.23,124.83,221976.58,ok
DFSD,20,469775.5,4697.76,47.96,225304.33,ok
DOCS,20,2654377.55,26543.78,24.79,658020.22,ok
DTCR,20,730093.2,7300.93,24.97,182304.27,ok
DUSA,20,59334.45,593.34,50.78,30130.03,ok
EBMT,20,35712.35,357.12,20.41,7288.89,ok
ENPH,20,4983869.15,49838.69,43.28,2157018.51,ok
ERC,20,79814.75,798.15,9.0,7183.33,ok
EVLV,20,4013245.1,40132.45,5.33,213905.96,ok
FET,20,297302.25,2973.02,56.62,168332.53,ok
FFIN,20,882011.45,8820.11,28.59,252167.07,ok
FISR,20,134850.05,1348.5,25.7,34656.46,ok
FNGD,20,480991.55,4809.92,65.1,313125.49,ok
FXF,20,132298.8,1322.99,111.4,147380.87,ok
GOOGL,20,29944925.8,299449.26,307.69,92137542.93,ok
HAFC,20,274896.5,2748.97,25.23,69356.39,ok
HEQT,20,97536.25,975.36,31.52,30743.43,ok
HHH,20,642132.1,6421.32,62.72,402745.26,ok
ICVT,20,737819.45,7378.19,104.23,769029.24,ok
IMPP,20,989492.45,9894.92,4.61,45615.6,ok
INTT,20,159422.1,1594.22,14.24,22701.71,ok
ITVPY,20,9540.2,95.4,10.61,1012.22,ok
JHML,20,21554.75,215.55,78.83,16991.61,ok
JPM,20,10416996.75,104169.97,287.74,29973865.43,ok
KRYAY,20,21289.45,212.89,76.87,16365.2,ok
KURE,20,28251.2,282.51,16.87,4765.98,ok
LION,20,2676401.4,26764.01,9.48,253722.84,ok
LULU,20,2814340.95,28143.41,165.39,4654638.48,ok
META,20,12001508.75,120015.09,615.68,73890888.19,ok
MGA,20,1795087.2,17950.87,54.15,972039.75,ok
MMYT,20,1460315.2,14603.15,42.88,626183.17,ok
MRBK,20,79096.2,790.96,18.48,14616.98,ok
MSCI,20,606955.05,6069.55,556.74,3379161.49,ok
MSFT,20,33479326.9,334793.27,391.79,131168657.72,ok
MTB,20,1243536.1,12435.36,197.07,2450636.68,ok
MTBA,20,216996.65,2169.97,49.85,108172.83,ok
MTUM,20,776780.25,7767.8,246.24,1912743.73,ok
NERD,20,1828.55,18.29,21.0854,385.56,ok
NVDA,20,195002070.85,1950020.71,180.4,351783723.91,ok
ODC,20,77713.4,777.13,60.02,46643.58,ok
OSCR,20,6496391.35,64963.91,13.56,880910.69,ok
PICB,20,147170.85,1471.71,23.24,34202.51,ok
PLOW,20,286839.65,2868.4,40.86,117202.68,ok
PLTR,20,50364566.3,503645.66,152.77,76941950.09,ok
PNFP,20,1506608.8,15066.09,82.1,1236925.8,ok
RMT,20,150309.45,1503.09,11.49,17270.56,ok
RYAM,20,1532153.25,15321.53,11.35,173899.4,ok
SFY,20,24053.95,240.54,127.88,30760.19,ok
SIEGY,20,348609.2,3486.09,123.0,428789.32,ok
STCE,20,96381.75,963.82,56.65,54600.26,ok
SXC,20,2168684.1,21686.84,6.05,131205.39,ok
TER,20,3286753.4,32867.53,300.07,9862561.17,ok
THD,20,190552.95,1905.53,65.47,124755.02,ok
TNC,20,374035.3,3740.35,63.97,239270.39,ok
TRS,20,546261.3,5462.61,34.12,186384.35,ok
TSLA,20,58368602.4,583686.02,392.78,229260195.79,ok
VOD,20,4045121.65,40451.22,14.37,581283.98,ok
VOOG,20,295729.35,2957.29,421.88,1247623.0,ok
XLB,20,17479744.85,174797.45,48.48,8474180.22,ok
XSHD,20,35000.15,350.0,13.0,4550.02,ok
YUMC,20,1971105.45,19711.05,52.76,1039955.2,ok
ZS,20,3560485.25,35604.85,155.99,5554001.14,ok
